domain,trial_type,alpha,alpha_ci_lower,alpha_ci_upper,n,trials_per_block,response_option_locations,parts,yi,vi,between_trial_type_differences
Body image,tt1,0.195192018,-0.317822416,0.656844771,21,24,Moving,2,0.217151561,0.210526316,FALSE
Body image,tt2,0.137426492,-0.308163218,0.553943264,21,24,Moving,2,0.147834907,0.210526316,FALSE
Body image,tt3,0.274573828,-0.177482128,0.60528367,21,24,Moving,2,0.320995973,0.210526316,FALSE
Body image,tt4,0.433840054,0.031770203,0.742345742,21,24,Moving,2,0.56887865,0.210526316,FALSE
Clinton-Trump,tt1,0.18917806,-0.040533529,0.382018382,93,24,Moving,2,0.209706806,0.043956044,FALSE
Clinton-Trump,tt2,0.16148043,-0.101330988,0.382447591,93,24,Moving,2,0.176117359,0.043956044,FALSE
Clinton-Trump,tt3,0.315557439,0.094210658,0.508345734,93,24,Moving,2,0.379150552,0.043956044,FALSE
Clinton-Trump,tt4,0.3173712,0.097689765,0.481169067,93,24,Moving,2,0.381804051,0.043956044,FALSE
Countries (1),tt1,0.32081876,0.034170523,0.561797732,54,24,Fixed,2,0.386867265,0.076923077,FALSE
Countries (1),tt2,0.079059006,-0.232879468,0.386248771,54,24,Fixed,2,0.082359312,0.076923077,FALSE
Countries (1),tt3,0.364871785,0.100675782,0.619755359,54,24,Fixed,2,0.453928387,0.076923077,FALSE
Countries (1),tt4,0.147167571,-0.170311731,0.4318803,54,24,Fixed,2,0.1591922,0.076923077,FALSE
Countries (2),tt1,0.076569732,-0.26432894,0.418036412,53,24,Fixed,2,0.079659991,0.078431373,FALSE
Countries (2),tt2,0.40904466,0.165793079,0.60410827,53,24,Fixed,2,0.526014831,0.078431373,FALSE
Countries (2),tt3,0.273220196,-0.020372757,0.553972451,53,24,Fixed,2,0.319131731,0.078431373,FALSE
Countries (2),tt4,0.122013349,-0.20277632,0.429512115,53,24,Fixed,2,0.13012389,0.078431373,FALSE
Countries (3),tt1,0.361420409,-0.039594895,0.685262592,33,24,Fixed,2,0.448508958,0.129032258,FALSE
Countries (3),tt2,0.381430487,-0.011393062,0.673205818,33,24,Fixed,2,0.480345703,0.129032258,FALSE
Countries (3),tt3,0.430973146,0.151149154,0.66626795,33,24,Fixed,2,0.56382765,0.129032258,FALSE
Countries (3),tt4,0.434600729,0.087566842,0.673308891,33,24,Fixed,2,0.570223123,0.129032258,FALSE
Countries (4),tt1,0.411878153,-0.102671362,0.741507615,20,24,Fixed,2,0.530821129,0.222222222,FALSE
Countries (4),tt2,0.198843123,-0.27378089,0.621961995,20,24,Fixed,2,0.2216985,0.222222222,FALSE
Countries (4),tt3,0.565896552,0.219504239,0.775187908,20,24,Fixed,2,0.834472413,0.222222222,FALSE
Countries (4),tt4,0.130294498,-0.408952893,0.612867639,20,24,Fixed,2,0.139600628,0.222222222,FALSE
Death (1),tt1,0.249756257,-0.538072374,0.842063223,9,24,Fixed,2,0.287357134,0.571428571,FALSE
Death (1),tt2,0.408838961,-0.23580688,0.848214284,9,24,Fixed,2,0.525666813,0.571428571,FALSE
Death (1),tt3,0.6716797,0.10940988,0.932536366,9,24,Fixed,2,1.113765623,0.571428571,FALSE
Death (1),tt4,0.064956563,-0.602735954,0.751168026,9,24,Fixed,2,0.067162294,0.571428571,FALSE
Death (2),tt1,0.364580979,-0.215149826,0.754429818,15,24,Fixed,2,0.453470623,0.307692308,FALSE
Death (2),tt2,0.394318548,-0.121190259,0.777989425,15,24,Fixed,2,0.501401089,0.307692308,FALSE
Death (2),tt3,0.291456387,-0.34124411,0.732038936,15,24,Fixed,2,0.344543666,0.307692308,FALSE
Death (2),tt4,0.533237546,0.146585928,0.821174033,15,24,Fixed,2,0.761934814,0.307692308,FALSE
Death (3),tt1,0.157097618,-0.309818273,0.532324536,24,24,Fixed,2,0.170904126,0.181818182,FALSE
Death (3),tt2,0.57380941,0.311661868,0.785806203,24,24,Fixed,2,0.852868639,0.181818182,FALSE
Death (3),tt3,0.318607403,-0.090240803,0.63059263,24,24,Fixed,2,0.383616639,0.181818182,FALSE
Death (3),tt4,0.472670293,0.153913009,0.714312289,24,24,Fixed,2,0.639929295,0.181818182,FALSE
Death (4),tt1,0.371288288,0.042692983,0.623314631,30,24,Fixed,2,0.464082455,0.142857143,FALSE
Death (4),tt2,0.399066278,0.039383049,0.665614616,30,24,Fixed,2,0.509270631,0.142857143,FALSE
Death (4),tt3,0.005346637,-0.373873664,0.424975334,30,24,Fixed,2,0.005360981,0.142857143,FALSE
Death (4),tt4,0.490842004,0.199658709,0.698437512,30,24,Fixed,2,0.674996906,0.142857143,FALSE
Disgust (1),tt1,0.320138471,-0.055821831,0.588097353,37,32,Fixed,2,0.385866136,0.114285714,FALSE
Disgust (1),tt2,0.291613968,-0.084770828,0.571986263,37,32,Fixed,2,0.344766091,0.114285714,FALSE
Disgust (1),tt3,0.594888192,0.406408333,0.748844563,37,32,Fixed,2,0.90359218,0.114285714,FALSE
Disgust (1),tt4,0.524657195,0.26378232,0.708048778,37,32,Fixed,2,0.743719041,0.114285714,FALSE
Disgust (2),tt1,0.353272757,-0.031123388,0.612355594,38,24,Fixed,2,0.435830645,0.111111111,FALSE
Disgust (2),tt2,0.174072384,-0.196601751,0.543535194,38,24,Fixed,2,0.191248141,0.111111111,FALSE
Disgust (2),tt3,0.301994463,-0.021961865,0.56255174,38,24,Fixed,2,0.359528244,0.111111111,FALSE
Disgust (2),tt4,0.317068835,-0.004006799,0.5908183,38,24,Fixed,2,0.381361207,0.111111111,FALSE
Friend-Enemy,tt1,0.175260893,-0.085466323,0.384264084,90,24,Moving,2,0.192688177,0.045454545,FALSE
Friend-Enemy,tt2,0.149021279,-0.113437961,0.371699799,90,24,Moving,2,0.161368155,0.045454545,FALSE
Friend-Enemy,tt3,-0.03045647,-0.294116407,0.266353615,90,24,Moving,2,-0.030001879,0.045454545,FALSE
Friend-Enemy,tt4,0.204683365,-0.039490852,0.428400713,90,24,Moving,2,0.22901496,0.045454545,FALSE
Gender stereotypes (1),tt1,0.135664282,-0.244973608,0.483413165,40,24,Moving,2,0.145794023,0.105263158,FALSE
Gender stereotypes (1),tt2,0.05925405,-0.337925641,0.431905145,40,24,Moving,2,0.061082155,0.105263158,FALSE
Gender stereotypes (1),tt3,0.199178621,-0.174983452,0.520008324,40,24,Moving,2,0.222117354,0.105263158,FALSE
Gender stereotypes (1),tt4,0.193429243,-0.17254856,0.500439688,40,24,Moving,2,0.214963652,0.105263158,FALSE
Gender stereotypes (2),tt1,0.306268454,0.096307029,0.488490576,95,24,Moving,2,0.365670214,0.043010753,FALSE
Gender stereotypes (2),tt2,-0.095328705,-0.310930172,0.162261277,95,24,Moving,2,-0.091054505,0.043010753,FALSE
Gender stereotypes (2),tt3,0.255641858,0.033939603,0.443541182,95,24,Moving,2,0.295232987,0.043010753,FALSE
Gender stereotypes (2),tt4,0.064192211,-0.193423681,0.31257801,95,24,Moving,2,0.066345177,0.043010753,FALSE
Gender stereotypes (3),tt1,0.501500918,0.396081238,0.592950328,183,32,Fixed,2,0.696153531,0.022099448,TRUE
Gender stereotypes (3),tt2,0.342740272,0.209223623,0.467335103,183,32,Fixed,2,0.419676015,0.022099448,FALSE
Gender stereotypes (3),tt3,0.181830137,0.029376594,0.31515243,183,32,Fixed,2,0.200685307,0.022099448,TRUE
Gender stereotypes (3),tt4,0.257310479,0.128130643,0.392944728,183,32,Fixed,2,0.297477194,0.022099448,TRUE
Gender stereotypes (4),tt1,0.235323974,-0.15964207,0.547887998,41,32,Fixed,2,0.26830303,0.102564103,FALSE
Gender stereotypes (4),tt2,0.283400394,-0.066366456,0.556592986,41,32,Fixed,2,0.333238024,0.102564103,FALSE
Gender stereotypes (4),tt3,0.159582766,-0.200948262,0.478764675,41,32,Fixed,2,0.173856804,0.102564103,FALSE
